DataHora,TempoGasto,WIDTH,HEIGHT,MAX_ITER,RE_MIN,RE_MAX,IM_MIN,IM_MAX,Machine,Code,Schedule,ChunkSize,Threads
2026-09-22 23:51:12,22.8011,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:53:34,22.2093,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:55:56,22.0703,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:58:16,22.1495,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-23 00:00:38,22.0718,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-23 00:03:00,22.0992,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-23 00:05:20,22.1318,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-23 00:07:42,22.9877,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-23 00:10:03,22.0785,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-23 00:12:26,23.3486,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-23 00:14:54,25.7865,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-23 00:17:18,25.7093,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-23 00:19:43,25.2783,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-23 07:03:06,7.41378,4096,4096,1000,-2.0,2.0,-2.0,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-23 07:04:08,10.9068,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-23 07:57:52,11.5353,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-23 07:58:06,5.32985,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-23 07:58:17,3.53878,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-23 07:58:28,3.39772,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-23 07:58:40,4.88414,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
