Scenario,WIDTH,Code,Schedule_Chunk,Tempo_Medio,Tempo_Min,Tempo_Max,Tempo_Std,Speedup_Medio,Eficiencia_Media,Execucoes
Zoom (Seahorse),8192,paralelo,dynamic (1),5.670486666666666,5.60977,5.71451,0.05432879009635027,4.069354038634351,1.0173385096585879,3
Zoom (Seahorse),8192,paralelo,guided (64),5.72963,5.67701,5.79525,0.060182426006268684,4.027396499571328,1.006849124892832,3
Zoom (Seahorse),8192,paralelo,guided (1024),5.735796666666666,5.69964,5.78357,0.043154043070532305,4.022922998526547,1.0057307496316368,3
Zoom (Seahorse),8192,paralelo,static (64),5.7366866666666665,5.66336,5.84624,0.09667239592217265,4.022902988900458,1.0057257472251144,3
Zoom (Seahorse),8192,paralelo,dynamic (1024),5.869506666666666,5.84421,5.88327,0.02193591195581671,3.931167749173093,0.9827919372932733,3
Zoom (Seahorse),8192,paralelo_collapse,dynamic (64),5.962413333333333,5.88391,6.10317,0.12216932934797253,3.870946987103577,0.9677367467758943,3
Zoom (Seahorse),8192,paralelo_collapse,guided (64),6.110836666666667,5.91684,6.2285,0.16927218387358725,3.7778441607849156,0.9444610401962289,3
Zoom (Seahorse),8192,paralelo_collapse,static (1024),6.282966666666667,6.19004,6.37013,0.09018322478894499,3.6729423253969604,0.9182355813492401,3
Zoom (Seahorse),8192,paralelo,static (1024),6.38164,6.33455,6.42276,0.04440700057423378,3.6157705398401503,0.9039426349600376,3
Zoom (Seahorse),8192,paralelo,auto (0),6.484306666666666,6.372,6.56299,0.09983582239523711,3.5589730227196306,0.8897432556799076,3
Zoom (Seahorse),8192,paralelo_collapse,static (64),6.519096666666667,6.34858,6.84649,0.2836129553340848,3.5437789848600487,0.8859447462150122,3
Zoom (Seahorse),8192,paralelo_collapse,auto (0),6.87309,6.75191,7.03613,0.14666099276903838,3.358132729710522,0.8395331824276305,3
Zoom (Seahorse),8192,paralelo_collapse,dynamic (1),7.28654,7.19068,7.41975,0.11901484403216264,3.167192720860085,0.7917981802150212,3
Zoom (Seahorse),16384,paralelo_collapse,guided (1024),21.2266,21.1775,21.2662,0.045106651394224824,4.343617335849639,1.0859043339624097,3
Zoom (Seahorse),16384,paralelo,dynamic (64),22.10093333333333,22.0718,22.1318,0.03003753207793986,4.171772392402254,1.0429430981005634,3
Zoom (Seahorse),16384,paralelo,dynamic (1),22.143033333333335,22.0703,22.2093,0.0697252704070296,4.163863114115721,1.0409657785289304,3
Zoom (Seahorse),16384,paralelo_collapse,static (1024),22.1484,22.0758,22.2481,0.08928958505895239,4.162871689626354,1.0407179224065886,3
Zoom (Seahorse),16384,paralelo,guided (1024),22.321366666666666,22.136,22.4241,0.16084652104827568,4.130712795643693,1.0326781989109233,3
Zoom (Seahorse),16384,paralelo,guided (64),22.804933333333334,22.0785,23.3486,0.6544778402156454,4.045229077102146,1.0113072692755365,3
Zoom (Seahorse),16384,paralelo_collapse,dynamic (1024),23.111500000000003,21.2348,26.7496,3.151214405590326,4.035728058885501,1.0089320147213752,3
Zoom (Seahorse),16384,paralelo,dynamic (1024),23.44803333333333,22.7019,24.4913,0.9309695233106905,3.936165448707978,0.9840413621769944,3
Zoom (Seahorse),16384,paralelo_collapse,dynamic (64),23.495833333333334,23.4869,23.5086,0.0113465119456753,3.924098499651419,0.9810246249128548,3
Zoom (Seahorse),16384,paralelo_collapse,guided (64),23.7353,23.41,23.9916,0.29687605157708313,3.884914339041869,0.9712285847604673,3
Zoom (Seahorse),16384,paralelo,static (1024),24.3223,24.3055,24.3367,0.015737852458324018,3.7907589224106366,0.9476897306026592,3
Zoom (Seahorse),16384,paralelo_collapse,static (64),24.96726666666667,24.1975,25.614,0.7162199126897635,3.6948752766278115,0.9237188191569529,3
Zoom (Seahorse),16384,paralelo,auto (0),25.59136666666667,25.2783,25.7865,0.2738576515880717,3.6030521740380554,0.9007630435095139,3
Zoom (Seahorse),16384,paralelo_collapse,auto (0),26.75916666666667,26.1595,27.1718,0.5314357189099483,3.4464610605388253,0.8616152651347063,3
Zoom (Seahorse),16384,paralelo,static (64),26.849800000000002,22.8011,34.7746,6.863620689548629,3.5694346615767985,0.8923586653941996,3
Zoom (Seahorse),16384,paralelo_collapse,dynamic (1),28.859066666666667,28.5897,29.3089,0.3920947887097367,3.1952251132154665,0.7988062783038666,3
